fdate,fundname,return
2001-03-31,ABN AMRO REAL ESTATE FUN,0.8980443337090444
2001-06-30,ABN AMRO REAL ESTATE FUN,9.250536255160458
2001-12-31,ABN AMRO REAL ESTATE FUN,-9.021844910552923
2002-03-31,ABN AMRO REAL ESTATE FUN,6.1989950961061036
2002-06-30,ABN AMRO REAL ESTATE FUN,1.8783294540567426
2002-12-31,ABN AMRO REAL ESTATE FUN,-8.03430651527498
2003-03-31,ABN AMRO REAL ESTATE FUN,-1.535376166696389
2003-06-30,ABN AMRO REAL ESTATE FUN,10.700675434393132
2003-12-31,ABN AMRO REAL ESTATE FUN,14.74857513410502
2004-03-31,ABN AMRO REAL ESTATE FUN,7.846629216182853
2004-06-30,ABN AMRO REAL ESTATE FUN,-5.677783639656084
2004-12-31,ABN AMRO REAL ESTATE FUN,14.454726226279172
2005-03-31,ABN AMRO REAL ESTATE FUN,-7.014168289974319
2005-06-30,ABN AMRO REAL ESTATE FUN,11.081750634428673
2005-12-31,ABN AMRO REAL ESTATE FUN,-4.901750895868456
2006-03-31,ABN AMRO REAL ESTATE FUN,13.701735337257363
1999-06-30,ABN AMRO VALUE FUND,9.813793686540672
1999-12-31,ABN AMRO VALUE FUND,13.374976225824186
2000-03-31,ABN AMRO VALUE FUND,-8.63443889204065
2000-06-30,ABN AMRO VALUE FUND,-16.038460386387886
2000-12-31,ABN AMRO VALUE FUND,3.526554946515447
2001-03-31,ABN AMRO VALUE FUND,-15.500442787240553
2001-06-30,ABN AMRO VALUE FUND,0.6214649111588757
2001-12-31,ABN AMRO VALUE FUND,-9.534889098668247
2002-03-31,ABN AMRO VALUE FUND,29.522769431472867
2002-06-30,ABN AMRO VALUE FUND,-6.6484855166854775
2002-12-31,ABN AMRO VALUE FUND,-11.860611550831072
2003-03-31,ABN AMRO VALUE FUND,-9.48725737277715
2003-06-30,ABN AMRO VALUE FUND,16.250413359075893
2003-12-31,ABN AMRO VALUE FUND,10.1796418160557
2004-03-31,ABN AMRO VALUE FUND,0.5766905668987677
2004-06-30,ABN AMRO VALUE FUND,0.2974924644488363
2004-12-31,ABN AMRO VALUE FUND,9.886479313827895
2005-03-31,ABN AMRO VALUE FUND,-0.3103950008948176
2005-06-30,ABN AMRO VALUE FUND,-3.6755849452808644
2005-12-31,ABN AMRO VALUE FUND,8.977809837331083
2006-03-31,ABN AMRO VALUE FUND,5.037131858258904
1999-06-30,ACCESSOR GROWTH FUND,-6.3754161405909935
1999-12-31,ACCESSOR GROWTH FUND,-2.5990268628692137
2000-03-31,ACCESSOR GROWTH FUND,-22.031551454833696
2000-06-30,ACCESSOR GROWTH FUND,-8.662917201292371
2000-12-31,ACCESSOR GROWTH FUND,-19.633951366932358
2001-03-31,ACCESSOR GROWTH FUND,-23.991685358895342
2001-06-30,ACCESSOR GROWTH FUND,12.323836486737823
2001-12-31,ACCESSOR GROWTH FUND,-5.388678542032039
2002-03-31,ACCESSOR GROWTH FUND,-1.9220215380318113
2002-06-30,ACCESSOR GROWTH FUND,-6.475303453866809
2002-12-31,ACCESSOR GROWTH FUND,-2.985760084894877
2003-03-31,ACCESSOR GROWTH FUND,1.0654466629533375
2003-06-30,ACCESSOR GROWTH FUND,12.22583822131407
2003-12-31,ACCESSOR GROWTH FUND,0.12518179685907838
2004-03-31,ACCESSOR GROWTH FUND,-1.7469997320631199
2004-06-30,ACCESSOR GROWTH FUND,-1.2782420367042455
2004-12-31,ACCESSOR GROWTH FUND,8.926111752962845
2005-03-31,ACCESSOR GROWTH FUND,-5.054705490290767
2005-06-30,ACCESSOR GROWTH FUND,-1.5637292028765564
2005-12-31,ACCESSOR GROWTH FUND,7.5106808480488505
2006-03-31,ACCESSOR GROWTH FUND,3.9981536521638668
2006-06-30,ACCESSOR GROWTH FUND,-7.809926429394117
2006-12-31,ACCESSOR GROWTH FUND,18.51533348374105
1999-06-30,ACCESSOR SML TO MID CAP,-0.733330761872236
1999-12-31,ACCESSOR SML TO MID CAP,33.213045426982
2000-03-31,ACCESSOR SML TO MID CAP,2.88897711318082
2000-12-31,ACCESSOR SML TO MID CAP,-35.90915173592058
2001-03-31,ACCESSOR SML TO MID CAP,-17.442452032785653
2001-06-30,ACCESSOR SML TO MID CAP,1.3916667780158136
2001-12-31,ACCESSOR SML TO MID CAP,-8.505402067013769
2002-03-31,ACCESSOR SML TO MID CAP,-3.7289994605883807
2002-06-30,ACCESSOR SML TO MID CAP,-9.79759279357023
2002-12-31,ACCESSOR SML TO MID CAP,-10.987001991465876
2003-03-31,ACCESSOR SML TO MID CAP,-0.18769392358021122
2003-06-30,ACCESSOR SML TO MID CAP,23.728947411999957
2003-12-31,ACCESSOR SML TO MID CAP,18.238833613922477
2004-03-31,ACCESSOR SML TO MID CAP,1.286060289380213
2004-06-30,ACCESSOR SML TO MID CAP,0.36700927172743875
2004-12-31,ACCESSOR SML TO MID CAP,8.663206280829126
2005-03-31,ACCESSOR SML TO MID CAP,-9.514912836404315
2005-06-30,ACCESSOR SML TO MID CAP,0.7063604125491251
2005-12-31,ACCESSOR SML TO MID CAP,13.792658563900392
2006-03-31,ACCESSOR SML TO MID CAP,-6.99524168268018
2006-06-30,ACCESSOR SML TO MID CAP,-7.8828013053839285
2006-12-31,ACCESSOR SML TO MID CAP,11.541229815178983
2000-03-31,ACTIVA GROWTH FUND,-3.391529159257302
2000-06-30,ACTIVA GROWTH FUND,-20.477283990285763
2000-12-31,ACTIVA GROWTH FUND,-4.233952881962351
2001-03-31,ACTIVA GROWTH FUND,-16.375170177871485
2001-06-30,ACTIVA GROWTH FUND,0.20046895856549365
2001-12-31,ACTIVA GROWTH FUND,4.91242744284948
2002-03-31,ACTIVA GROWTH FUND,-5.314183310631545
2002-06-30,ACTIVA GROWTH FUND,-8.743019317037442
2002-12-31,ACTIVA GROWTH FUND,-11.221778234952788
2003-03-31,ACTIVA GROWTH FUND,3.0953486212979358
2003-06-30,ACTIVA GROWTH FUND,15.44192380509516
2003-12-31,ACTIVA GROWTH FUND,-2.1808136973759584
2004-03-31,ACTIVA GROWTH FUND,-3.9460705890575145
2004-06-30,ACTIVA GROWTH FUND,5.703811670832627
2004-12-31,ACTIVA GROWTH FUND,16.415889016342064
2005-03-31,ACTIVA GROWTH FUND,-1.8503378152182184
2005-06-30,ACTIVA GROWTH FUND,7.421192119690666
2005-12-31,ACTIVA GROWTH FUND,17.90433950973061
2006-03-31,ACTIVA GROWTH FUND,2.948362437347615
2006-06-30,ACTIVA GROWTH FUND,-4.898568359412147
2006-12-31,ACTIVA GROWTH FUND,8.14721472670782
2000-03-31,ACTIVA INTL FUND,3.555766682501185
2000-06-30,ACTIVA INTL FUND,-27.934870784563675
2000-12-31,ACTIVA INTL FUND,-3.2248532604325897
2001-03-31,ACTIVA INTL FUND,-36.25903104754055
2001-06-30,ACTIVA INTL FUND,12.63545804567269
2001-12-31,ACTIVA INTL FUND,-21.783921163118094
2002-03-31,ACTIVA INTL FUND,6.61180622351112
2002-06-30,ACTIVA INTL FUND,32.965158150474075
2002-12-31,ACTIVA INTL FUND,-14.210582749141373
2003-03-31,ACTIVA INTL FUND,3.363766645733675
2003-06-30,ACTIVA INTL FUND,-4.568753417167855
2003-12-31,ACTIVA INTL FUND,15.05369039870757
2004-03-31,ACTIVA INTL FUND,20.33236552468684
2004-06-30,ACTIVA INTL FUND,14.153212580633422
2004-12-31,ACTIVA INTL FUND,-14.512730465320455
2005-03-31,ACTIVA INTL FUND,14.511656567731329
2005-06-30,ACTIVA INTL FUND,-45.196412556053815
2005-12-31,ACTIVA INTL FUND,12.68215159813367
2006-03-31,ACTIVA INTL FUND,9.987824020420442
2006-06-30,ACTIVA INTL FUND,-10.234757000296096
2006-12-31,ACTIVA INTL FUND,14.121677190151525
2000-03-31,ACTIVA VALUE FUND,0.13087338635904758
2000-06-30,ACTIVA VALUE FUND,-7.312512426423945
2000-12-31,ACTIVA VALUE FUND,11.210014327841694
2001-03-31,ACTIVA VALUE FUND,-8.64857481907043
2001-06-30,ACTIVA VALUE FUND,-1.3058572426949815
2001-12-31,ACTIVA VALUE FUND,-0.8273214180626839
2002-03-31,ACTIVA VALUE FUND,5.1371747253109685
2002-06-30,ACTIVA VALUE FUND,-7.790655233253921
2002-12-31,ACTIVA VALUE FUND,-15.279592211162463
2003-03-31,ACTIVA VALUE FUND,-1.7435476413498832
2003-06-30,ACTIVA VALUE FUND,19.478010417403134
2003-12-31,ACTIVA VALUE FUND,5.401058385059058
2004-03-31,ACTIVA VALUE FUND,5.423060612319882
2004-06-30,ACTIVA VALUE FUND,-5.33151427794519
2004-12-31,ACTIVA VALUE FUND,1.3971696107521576
2005-03-31,ACTIVA VALUE FUND,1.7744340160528764
2005-06-30,ACTIVA VALUE FUND,-2.036702122485558
2005-12-31,ACTIVA VALUE FUND,2.9841872523277724
2006-03-31,ACTIVA VALUE FUND,0.43325010494987176
2006-06-30,ACTIVA VALUE FUND,-4.094050253083977
2006-12-31,ACTIVA VALUE FUND,15.421627728748744
2000-03-31,ADAMS EXPRESS COMPANY,2.256715895676689
2000-06-30,ADAMS EXPRESS COMPANY,-13.753447736234428
2000-12-31,ADAMS EXPRESS COMPANY,-8.378745952865001
2001-03-31,ADAMS EXPRESS COMPANY,-13.980836348787703
2001-06-30,ADAMS EXPRESS COMPANY,-0.9531360197860874
2001-12-31,ADAMS EXPRESS COMPANY,0.4593770637336519
2002-03-31,ADAMS EXPRESS COMPANY,2.84489990184387
2002-06-30,ADAMS EXPRESS COMPANY,-13.113258085694063
2002-12-31,ADAMS EXPRESS COMPANY,-7.11065116666009
2003-03-31,ADAMS EXPRESS COMPANY,-3.9385717862060488
2003-06-30,ADAMS EXPRESS COMPANY,15.111404293740675
2003-12-31,ADAMS EXPRESS COMPANY,15.047169588949918
